0: g0-s1, g1-s3, y0-s3, y1-s2, b0-s0, b1-s3, 
1: g0-s1, g1-s3, y0-s3, y1-s2, b0-s0, b1-s3, 
2: g0-s1->s0, g1-s3, y0-s3, y1-s2, b0-s0, b1-s3, 
3: g0-s0, g1-s3->s0, y0-s3, y1-s2, b0-s0, b1-s3, 
4: g0-s0, g1-s3->s0, y0-s3, y1-s2->s1, b0-s0->s2, b1-s3, 
5: g0-s0, g1-s3->s0, y0-s3, y1-s2->s1, b0-s0->s2, b1-s3, 
6: g0-s0, g1-s0, y0-s3, y1-s2->s1, b0-s2, b1-s3, 
7: g0-s0, g1-s0, y0-s3->s1, y1-s2->s1, b0-s2, b1-s3, 
8: g0-s0, g1-s0, y0-s1, y1-s1, b0-s2, b1-s3, 
9: g0-s0, g1-s0, y0-s1->s2, y1-s1, b0-s2, b1-s3, 
10: g0-s0, g1-s0, y0-s1->s2, y1-s1->s3, b0-s2, b1-s3->s2, 
11: g0-s0->s3, g1-s0, y0-s1->s2, y1-s3, b0-s2, b1-s3->s2, 
12: g0-s0->s3, g1-s0, y0-s1->s2, y1-s3, b0-s2->s3, b1-s2, 
13: g0-s0->s3, g1-s0, y0-s2, y1-s3, b0-s2->s3, b1-s2->s0, 
14: g0-s3, g1-s0->s1, y0-s2, y1-s3, b0-s3, b1-s2->s0, 
15: g0-s3, g1-s1, y0-s2, y1-s3, b0-s3, b1-s0, 
16: g0-s3, g1-s1, y0-s2, y1-s3, b0-s3, b1-s0, 
17: g0-s3, g1-s1, y0-s2, y1-s3, b0-s3, b1-s0, 
18: g0-s3, g1-s1, y0-s2, y1-s3, b0-s3, b1-s0, 
19: g0-s3, g1-s1->s0, y0-s2, y1-s3, b0-s3, b1-s0, 
20: g0-s3, g1-s0, y0-s2, y1-s3, b0-s3, b1-s0, 
21: g0-s3, g1-s0, y0-s2, y1-s3->s1, b0-s3, b1-s0, 
22: g0-s3, g1-s0, y0-s2, y1-s1, b0-s3, b1-s0, 
23: g0-s3, g1-s0, y0-s2, y1-s1->s2, b0-s3, b1-s0, 
24: g0-s3->s0, g1-s0, y0-s2->s1, y1-s1->s2, b0-s3, b1-s0, 
25: g0-s3->s0, g1-s0, y0-s2->s1, y1-s1->s2, b0-s3, b1-s0, 
26: g0-s3->s0, g1-s0, y0-s2->s1, y1-s1->s2, b0-s3, b1-s0, 
27: g0-s0, g1-s0, y0-s2->s1, y1-s2, b0-s3, b1-s0->s2, 
28: g0-s0, g1-s0, y0-s1, y1-s2, b0-s3->s2, b1-s0->s2, 
29: g0-s0, g1-s0, y0-s1, y1-s2, b0-s3->s2, b1-s2, 
30: g0-s0, g1-s0->s3, y0-s1, y1-s2, b0-s2, b1-s2, 
31: g0-s0, g1-s0->s3, y0-s1->s3, y1-s2, b0-s2, b1-s2, 
32: g0-s0, g1-s0->s3, y0-s3, y1-s2, b0-s2, b1-s2, 
33: g0-s0->s1, g1-s3, y0-s3, y1-s2, b0-s2, b1-s2, 
34: g0-s1, g1-s3, y0-s3, y1-s2, b0-s2, b1-s2->s3, 
35: g0-s1, g1-s3, y0-s3, y1-s2, b0-s2, b1-s2->s3, 
36: g0-s1, g1-s3, y0-s3, y1-s2, b0-s2, b1-s3, 
37: g0-s1, g1-s3, y0-s3, y1-s2, b0-s2, b1-s3, 
38: g0-s1, g1-s3, y0-s3, y1-s2, b0-s2, b1-s3, 
39: g0-s1, g1-s3, y0-s3, y1-s2, b0-s2, b1-s3, 
40: g0-s1->s0, g1-s3, y0-s3, y1-s2->s1, b0-s2, b1-s3, 
41: g0-s0, g1-s3, y0-s3, y1-s2->s1, b0-s2, b1-s3, 
42: g0-s0, g1-s3, y0-s3->s1, y1-s2->s1, b0-s2->s0, b1-s3, 
43: g0-s0, g1-s3, y0-s1, y1-s2->s1, b0-s2->s0, b1-s3, 
44: g0-s0->s3, g1-s3, y0-s1, y1-s1, b0-s0, b1-s3, 
45: g0-s0->s3, g1-s3->s0, y0-s1, y1-s1, b0-s0, b1-s3, 
46: g0-s0->s3, g1-s3->s0, y0-s1->s2, y1-s1, b0-s0, b1-s3, 
47: g0-s3, g1-s3->s0, y0-s1->s2, y1-s1, b0-s0, b1-s3, 
48: g0-s3, g1-s0, y0-s1->s2, y1-s1->s3, b0-s0, b1-s3, 
49: g0-s3, g1-s0, y0-s1->s2, y1-s3, b0-s0, b1-s3->s2, 
50: g0-s3, g1-s0, y0-s2, y1-s3, b0-s0, b1-s3->s2, 
51: g0-s3, g1-s0, y0-s2, y1-s3, b0-s0->s2, b1-s2, 
52: g0-s3, g1-s0, y0-s2, y1-s3, b0-s0->s2, b1-s2, 
53: g0-s3, g1-s0, y0-s2, y1-s3, b0-s2, b1-s2, 
54: g0-s3, g1-s0, y0-s2, y1-s3, b0-s2, b1-s2, 
55: g0-s3, g1-s0, y0-s2, y1-s3, b0-s2, b1-s2->s0, 
56: g0-s3, g1-s0, y0-s2, y1-s3, b0-s2, b1-s2->s0, 
57: g0-s3, g1-s0, y0-s2, y1-s3, b0-s2, b1-s0, 
58: g0-s3->s0, g1-s0, y0-s2, y1-s3, b0-s2->s3, b1-s0, 
59: g0-s3->s0, g1-s0, y0-s2, y1-s3->s1, b0-s2->s3, b1-s0, 
