0: g0-s1, y1-s2, b0-s0, g1-s3, y0-s3, b1-s3, 
1: b0-s0, y1-s2, y0-s3, b1-s3, g1-s3->s0, g0-s1, 
2: y0-s3, g1-s3->s0, b1-s3, b0-s0, y1-s2, g0-s1, 
3: g0-s1->s0, g1-s3->s0, b0-s0, b1-s3, y0-s3->s1, y1-s2, 
4: b0-s0, y1-s2, g0-s0, g1-s0, y0-s1, b1-s3, 
5: b0-s0, y0-s1->s2, g0-s0, y1-s2, b1-s3, g1-s0, 
6: y0-s1->s2, y1-s2->s1, b0-s0, g0-s0, g1-s0, b1-s3, 
7: b0-s0, y0-s1->s2, g0-s0, g1-s0, b1-s3->s2, y1-s2->s1, 
8: y0-s1->s2, b1-s3->s2, y1-s2->s1, b0-s0, g0-s0, g1-s0, 
9: y1-s2->s1, b1-s2, b0-s0->s2, y0-s2, g0-s0, g1-s0, 
10: b1-s2, b0-s0->s2, g0-s0, y0-s2, g1-s0, y1-s1, 
11: g0-s0->s3, b1-s2->s0, g1-s0, y0-s2, y1-s1->s3, b0-s2, 
12: g0-s0->s3, g1-s0, b1-s2->s0, y0-s2, y1-s3, b0-s2, 
13: g0-s0->s3, y0-s2->s1, y1-s3->s1, g1-s0, b0-s2, b1-s0, 
14: y1-s1, g0-s3, g1-s0->s1, y0-s2->s1, b1-s0, b0-s2, 
15: g0-s3, y0-s2->s1, b1-s0, b0-s2, y1-s1, g1-s1, 
16: b0-s2, g0-s3, y0-s2->s1, y1-s1, g1-s1, b1-s0, 
17: b0-s2, g0-s3, b1-s0, y1-s1->s2, g1-s1, y0-s1, 
18: g1-s1->s0, y1-s1->s2, b0-s2->s3, g0-s3->s0, y0-s1, b1-s0, 
19: y1-s1->s2, b0-s2->s3, g0-s3->s0, y0-s1, b1-s0, g1-s0, 
20: y1-s1->s2, g0-s3->s0, b1-s0, g1-s0, b0-s3, y0-s1, 
21: y1-s2, y0-s1->s3, b1-s0, g1-s0, g0-s0, b0-s3, 
22: y0-s3, b1-s0->s2, y1-s2->s1, g1-s0, b0-s3->s2, g0-s0, 
23: b1-s0->s2, g1-s0->s3, y1-s2->s1, b0-s3->s2, g0-s0, y0-s3, 
24: b1-s2, y0-s3, g1-s0->s3, y1-s2->s1, g0-s0, b0-s2, 
25: g1-s0->s3, y0-s3->s1, g0-s0, b1-s2, b0-s2, y1-s2->s1, 
26: g1-s3, g0-s0, b1-s2, b0-s2, y0-s1, y1-s1, 
27: g1-s3->s0, g0-s0, y0-s1, y1-s1, b1-s2, b0-s2, 
28: y0-s1->s2, b1-s2, b0-s2, g0-s0, y1-s1, g1-s3->s0, 
29: b1-s2, y0-s1->s2, b0-s2, g1-s3->s0, g0-s0, y1-s1, 
30: g0-s0, y1-s1, g1-s0, y0-s1->s2, b0-s2, b1-s2->s3, 
31: g0-s0, b0-s2, y0-s1->s2, y1-s1->s3, b1-s2->s3, g1-s0, 
32: b0-s2, b1-s3, g0-s0->s1, g1-s0, y0-s2, y1-s3, 
33: b0-s2->s0, g1-s0, g0-s1, y0-s2, b1-s3, y1-s3, 
34: g0-s1->s0, y0-s2, b1-s3, y1-s3, b0-s2->s0, g1-s0, 
35: g1-s0, b0-s0, g0-s0, y1-s3, b1-s3->s2, y0-s2, 
36: y1-s3, g1-s0->s1, b1-s3->s2, b0-s0, y0-s2, g0-s0, 
37: y1-s3->s1, b0-s0, g0-s0, y0-s2, g1-s1, b1-s2, 
38: b0-s0, y0-s2->s1, g0-s0, g1-s1, b1-s2, y1-s1, 
39: b0-s0, b1-s2->s0, y0-s2->s1, g0-s0, g1-s1, y1-s1, 
40: g1-s1->s0, b1-s2->s0, y0-s2->s1, b0-s0, y1-s1, g0-s0, 
41: b0-s0, y1-s1->s2, y0-s2->s1, g0-s0, b1-s0, g1-s0, 
42: y0-s1, y1-s1->s2, b0-s0, g0-s0, b1-s0, g1-s0, 
43: g0-s0, y0-s1, b0-s0->s2, y1-s1->s2, b1-s0, g1-s0, 
44: y0-s1, b1-s0, b0-s0->s2, y1-s1->s2, g1-s0, g0-s0->s3, 
45: g0-s0->s3, y0-s1->s3, b1-s0, g1-s0, b0-s2, y1-s2, 
46: y0-s3, g0-s0->s3, b0-s2, y1-s2, b1-s0, g1-s0, 
47: b0-s2, b1-s0, y1-s2, g1-s0, y0-s3, g0-s3, 
48: y0-s3, g0-s3, b1-s0, g1-s0, b0-s2, y1-s2, 
49: y0-s3->s1, b1-s0, b0-s2, g1-s0, y1-s2, g0-s3, 
50: b0-s2->s3, g0-s3->s0, b1-s0, y0-s1, g1-s0, y1-s2, 
51: y1-s2, b0-s2->s3, g0-s3->s0, g1-s0, y0-s1->s2, b1-s0->s2, 
52: y1-s2->s1, g0-s3->s0, b1-s0->s2, y0-s1->s2, b0-s3, g1-s0, 
53: y0-s1->s2, g1-s0, y1-s2->s1, g0-s0, b1-s2, b0-s3, 
54: g1-s0->s3, y0-s1->s2, y1-s2->s1, g0-s0, b1-s2, b0-s3, 
55: g0-s0, b0-s3, b1-s2, g1-s0->s3, y1-s2->s1, y0-s2, 
56: g1-s0->s3, b0-s3->s2, g0-s0, y1-s1, b1-s2, y0-s2, 
57: g0-s0, b0-s3->s2, y1-s1, b1-s2, g1-s3, y0-s2, 
58: g1-s3, g0-s0, y1-s1, y0-s2, b0-s2, b1-s2->s3, 
59: y1-s1->s3, g0-s0, b1-s2->s3, y0-s2, g1-s3, b0-s2, 
60: g0-s0, b0-s2, g1-s3, y0-s2->s1, b1-s3, y1-s3, 
61: g0-s0->s1, y0-s2->s1, g1-s3->s0, b0-s2, b1-s3, y1-s3, 
62: b0-s2, y0-s2->s1, g1-s3->s0, g0-s1, b1-s3, y1-s3, 
63: b0-s2, y0-s2->s1, g1-s3->s0, g0-s1, b1-s3, y1-s3, 
64: g0-s1, b0-s2, b1-s3, y0-s1, y1-s3, g1-s0, 
65: g1-s0, g0-s1->s0, b1-s3->s2, y0-s1, b0-s2, y1-s3, 
66: g1-s0->s1, b0-s2->s0, b1-s3->s2, g0-s0, y0-s1, y1-s3, 
67: g0-s0, b0-s2->s0, y1-s3->s1, y0-s1, b1-s2, g1-s1, 
68: g1-s1, y0-s1->s3, y1-s1, g0-s0, b1-s2, b0-s0, 
69: y1-s1, b1-s2, y0-s3, g0-s0, b0-s0, g1-s1->s0, 
70: b1-s2, y1-s1->s2, y0-s3->s1, g0-s0, b0-s0, g1-s0, 
71: y0-s1, b1-s2, g0-s0, b0-s0, g1-s0, y1-s1->s2, 
72: g0-s0, y1-s1->s2, b1-s2->s0, b0-s0, y0-s1, g1-s0, 
73: y1-s1->s2, b1-s2->s0, g0-s0, y0-s1, b0-s0, g1-s0, 
74: g0-s0, y1-s1->s2, b0-s0, y0-s1, g1-s0, b1-s0, 
75: y1-s2, g0-s0->s3, y0-s1->s2, b0-s0, g1-s0, b1-s0, 
76: y1-s2, g0-s0->s3, b0-s0, y0-s1->s2, g1-s0, b1-s0, 
77: y1-s2, y0-s1->s2, b0-s0, g1-s0, b1-s0, g0-s0->s3, 
78: y1-s2, g0-s3, b0-s0, y0-s1->s2, g1-s0, b1-s0, 
79: y1-s2, g0-s3, y0-s2, b0-s0, g1-s0, b1-s0, 
80: b0-s0, g1-s0, b1-s0, y1-s2, y0-s2, g0-s3->s0, 
81: b0-s0, y0-s2, y1-s2->s1, g0-s3->s0, g1-s0, b1-s0, 
82: y0-s2, y1-s2->s1, g0-s3->s0, b0-s0, g1-s0, b1-s0, 
83: b0-s0->s2, y1-s2->s1, g1-s0, y0-s2, b1-s0, g0-s0, 
84: b0-s0->s2, y1-s2->s1, g1-s0, y0-s2, b1-s0, g0-s0, 
85: b0-s2, g1-s0, b1-s0, g0-s0, y1-s2->s1, y0-s2, 
86: b0-s2->s3, y1-s1, y0-s2->s1, g1-s0, b1-s0, g0-s0, 
87: g1-s0, y1-s1, y0-s2->s1, b0-s2->s3, b1-s0, g0-s0, 
88: g1-s0, b0-s3, y1-s1->s3, y0-s2->s1, b1-s0, g0-s0, 
89: g1-s0, b0-s3, y0-s2->s1, b1-s0, y1-s3, g0-s0, 
90: g1-s0, y0-s1, y1-s3, b0-s3->s2, b1-s0, g0-s0, 
91: y0-s1, y1-s3, g1-s0, b1-s0, g0-s0, b0-s3->s2, 
92: y0-s1, b0-s2, y1-s3, g1-s0->s3, b1-s0, g0-s0, 
93: b0-s2, y1-s3, g1-s0->s3, y0-s1->s3, b1-s0, g0-s0, 
94: g1-s0->s3, b0-s2->s0, y1-s3->s1, b1-s0, g0-s0, y0-s3, 
95: b1-s0->s2, b0-s2->s0, g0-s0, y1-s1, y0-s3, g1-s3, 
96: b0-s0, g0-s0->s1, b1-s0->s2, y1-s1, y0-s3, g1-s3, 
97: y1-s1->s2, y0-s3->s1, b1-s2, b0-s0, g1-s3, g0-s1, 
98: b1-s2, y1-s1->s2, b0-s0, g0-s1, y0-s1, g1-s3, 
99: b1-s2, g1-s3, b0-s0->s2, y1-s1->s2, g0-s1, y0-s1, 
100: g1-s3, b0-s0->s2, g0-s1->s0, y1-s1->s2, b1-s2->s3, y0-s1, 
101: y1-s1->s2, g1-s3->s0, y0-s1, g0-s0, b1-s2->s3, b0-s2, 
102: b0-s2, b1-s3, y0-s1->s2, y1-s2, g0-s0, g1-s3->s0, 
103: b1-s3, g1-s3->s0, g0-s0, b0-s2, y1-s2, y0-s1->s2, 
104: y0-s1->s2, b1-s3->s2, g0-s0, b0-s2, g1-s0, y1-s2, 
105: g0-s0->s3, y0-s1->s2, b0-s2, y1-s2, b1-s3->s2, g1-s0, 
106: g0-s0->s3, b0-s2->s3, g1-s0, y1-s2, b1-s2, y0-s2, 
107: g0-s0->s3, b0-s2->s3, g1-s0, y1-s2, b1-s2, y0-s2, 
