0: y0-s6, y2-s6, y4-s6, y6-s6, y8-s6, g0-s7, g2-s7, g1-s0, y1-s5, g4-s7, g3-s0, y3-s5, g6-s7, g5-s0, y5-s5, g8-s7, g7-s0, y7-s5, g9-s0, y9-s5, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
1: g2-s7, y0-s6, g4-s7, g0-s7->s2, g1-s0, y1-s5, y2-s6, g6-s7, g3-s0, y3-s5, y4-s6, g8-s7, g5-s0, y5-s5, y6-s6, g7-s0, y7-s5, y8-s6, g9-s0, y9-s5, b0-s0, b1-s5, b2-s0, b4-s0, b3-s5, b6-s0, b5-s5, b8-s0, b7-s5, b9-s5, 
2: y0-s6, g4-s7, g0-s7->s2, g1-s0, y1-s5, y2-s6, g6-s7, g2-s7, g3-s0, y3-s5, y4-s6, g8-s7, g5-s0, y5-s5, y6-s6, g7-s0, y7-s5, y8-s6, g9-s0, y9-s5, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
3: y1-s5->s1, g1-s0, g0-s7->s2, g3-s0, y3-s5, y0-s6, g6-s7, g2-s7, g5-s0, y5-s5, g8-s7, g4-s7, g7-s0, y7-s5, g9-s0, y9-s5, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, y2-s6, y4-s6, y6-s6, y8-s6, 
4: y1-s5->s1, g0-s7->s2, g2-s7, g4-s7, g6-s7, g1-s0, g3-s0, y3-s5, y2-s6, g8-s7, y0-s6->s4, g5-s0, y5-s5, y4-s6, g7-s0, y7-s5, y6-s6, g9-s0, y9-s5, y8-s6, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
5: y4-s6, y0-s6->s4, g0-s7->s2, g1-s0, y1-s1, y3-s5, y6-s6, y2-s6, g2-s7, g3-s0, y5-s5, y8-s6, g4-s7, g5-s0, y7-s5, g6-s7, g7-s0, y9-s5, g8-s7, g9-s0, b1-s5, b0-s0, b3-s5, b2-s0, b5-s5, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, 
6: y1-s1, y3-s5, y4-s6, y0-s6->s4, g0-s7->s2, g1-s0, y5-s5, y6-s6, y2-s6, g2-s7, g3-s0, y7-s5, y8-s6, g4-s7, g5-s0, y9-s5, g6-s7, g7-s0, b1-s5, g8-s7, g9-s0, b3-s5, b0-s0, b5-s5, b2-s0, b7-s5, b4-s0, b9-s5, b6-s0, b8-s0, 
7: g1-s0, g3-s0, g5-s0, g7-s0, g9-s0, b0-s0, b2-s0, b4-s0, b6-s0, b8-s0, y3-s5, y5-s5, y6-s6, y0-s6->s4, g0-s7->s2, y7-s5, y8-s6, y2-s6, g2-s7, y9-s5, y4-s6, g4-s7, b1-s5, g6-s7, b3-s5, g8-s7, b5-s5, b7-s5, b9-s5, y1-s1->s2, 
8: y6-s6, y1-s1->s2, y0-s6->s4, g0-s7->s2, y3-s5, y8-s6, y2-s6, g2-s7, y5-s5, y4-s6, g4-s7, y7-s5, g6-s7, y9-s5, g8-s7, b1-s5, b3-s5, b5-s5, b7-s5, b9-s5, g1-s0, g3-s0, g5-s0, g7-s0, g9-s0, b0-s0, b2-s0, b4-s0, b6-s0, b8-s0, 
9: y0-s6->s4, y2-s6, y4-s6, g3-s0, g0-s7->s2, g5-s0, y3-s5, y6-s6, g1-s0->s1, y1-s1->s2, g2-s7, g7-s0, y5-s5, y8-s6, g4-s7, g9-s0, y7-s5, g6-s7, b0-s0, y9-s5, g8-s7, b2-s0, b1-s5, b4-s0, b3-s5, b6-s0, b5-s5, b8-s0, b7-s5, b9-s5, 
10: y6-s6, y3-s5->s1, y0-s6->s4, g3-s0, g0-s2, y8-s6, y2-s6, g5-s0, y4-s6, g7-s0, g9-s0, b0-s0, b2-s0, b4-s0, b6-s0, b8-s0, y5-s5, y7-s5, g1-s0->s1, y1-s1->s2, g2-s7->s2, y9-s5, g4-s7, b1-s5, g6-s7, b3-s5, g8-s7, b5-s5, b7-s5, b9-s5, 
